,date,open,close,high,low,volume,code
701,2020-11-23,3384.1,3414.49,3431.65,3377.99,373872047.0,sh000001
702,2020-11-24,3407.41,3402.82,3413.93,3396.24,300994144.0,sh000001
703,2020-11-25,3417.52,3362.33,3423.49,3362.33,322110207.0,sh000001
704,2020-11-26,3360.06,3369.73,3371.45,3344.28,255886822.0,sh000001
705,2020-11-27,3373.84,3408.31,3408.31,3364.49,280649894.0,sh000001
706,2020-11-30,3418.16,3391.76,3456.74,3391.76,384989968.0,sh000001
707,2020-12-01,3388.99,3451.94,3457.64,3386.91,316188980.0,sh000001
708,2020-12-02,3453.52,3449.38,3465.73,3435.87,312811114.0,sh000001
709,2020-12-03,3448.54,3442.14,3452.16,3428.8,298459930.0,sh000001
710,2020-12-04,3436.73,3444.58,3448.4,3417.05,256276705.0,sh000001
711,2020-12-07,3446.65,3416.6,3449.58,3414.31,254522508.0,sh000001
712,2020-12-08,3417.69,3410.18,3428.66,3403.03,226907328.0,sh000001
713,2020-12-09,3416.08,3371.96,3422.54,3371.92,260747424.0,sh000001
714,2020-12-10,3365.73,3373.28,3384.89,3357.75,247308304.0,sh000001
715,2020-12-11,3381.01,3347.19,3383.18,3325.17,298617158.0,sh000001
716,2020-12-14,3349.53,3369.12,3371.13,3338.63,239807926.0,sh000001
717,2020-12-15,3366.58,3367.23,3373.56,3348.42,225667402.0,sh000001
718,2020-12-16,3371.26,3366.98,3378.66,3359.17,220813976.0,sh000001
719,2020-12-17,3367.28,3404.87,3406.15,3354.01,275463631.0,sh000001
720,2020-12-18,3400.49,3394.9,3413.81,3382.75,280992641.0,sh000001
721,2020-12-21,3394.39,3420.57,3423.61,3381.12,283759794.0,sh000001
722,2020-12-22,3410.97,3356.78,3415.75,3353.86,323037654.0,sh000001
723,2020-12-23,3362.47,3382.32,3394.21,3360.2,299523527.0,sh000001
724,2020-12-24,3382.19,3363.11,3394.07,3354.02,275044450.0,sh000001
725,2020-12-25,3351.79,3396.56,3397.01,3348.35,294546895.0,sh000001
726,2020-12-28,3396.36,3397.29,3412.52,3383.65,316181542.0,sh000001
727,2020-12-29,3399.29,3379.04,3407.09,3376.09,311769185.0,sh000001
728,2020-12-30,3375.01,3414.45,3414.45,3374.42,291023543.0,sh000001
729,2020-12-31,3419.73,3473.07,3474.92,3419.73,335673926.0,sh000001
730,2021-01-04,3474.68,3502.96,3511.66,3457.21,380790800.0,sh000001
731,2021-01-05,3492.19,3528.68,3528.68,3484.72,407995934.0,sh000001
732,2021-01-06,3530.91,3550.88,3556.8,3513.13,370230926.0,sh000001
733,2021-01-07,3552.91,3576.2,3576.2,3526.62,405348226.0,sh000001
734,2021-01-08,3577.69,3570.11,3588.06,3544.89,345557896.0,sh000001
735,2021-01-11,3571.32,3531.5,3597.7,3516.99,362479154.0,sh000001
736,2021-01-12,3518.01,3608.34,3608.34,3517.47,323406153.0,sh000001
737,2021-01-13,3613.28,3598.65,3622.35,3575.59,388127791.0,sh000001
738,2021-01-14,3584.93,3565.9,3599.06,3559.6,347666819.0,sh000001
739,2021-01-15,3566.28,3566.38,3589.27,3533.79,324612744.0,sh000001
740,2021-01-18,3554.8,3596.22,3608.77,3544.26,301652565.0,sh000001
741,2021-01-19,3596.36,3566.38,3603.15,3553.02,323439541.0,sh000001
742,2021-01-20,3564.12,3583.09,3589.96,3556.44,272271661.0,sh000001
743,2021-01-21,3590.92,3621.26,3636.24,3585.8,327466995.0,sh000001
744,2021-01-22,3616.54,3606.75,3616.54,3585.03,324463084.0,sh000001
745,2021-01-25,3605.36,3624.24,3637.1,3591.02,327341070.0,sh000001
746,2021-01-26,3610.97,3569.43,3610.97,3564.74,278139884.0,sh000001
747,2021-01-27,3567.55,3573.34,3578.8,3546.49,264107161.0,sh000001
748,2021-01-28,3534.67,3505.18,3549.54,3496.88,270862461.0,sh000001
749,2021-01-29,3521.72,3483.07,3531.6,3446.55,293662664.0,sh000001
750,2021-02-01,3477.17,3505.28,3506.39,3469.88,277567901.0,sh000001
